,Address,Price,Property_Type,Latitude,Longitude,Bedrooms,Bathrooms,Size
256,"Sheaf Lane, Birmingham",550000,Detached Bungalow,52.45448,-1.78231,5.0,2.0,
257,"Poundley Close, Birmingham",550000,Detached,52.5058,-1.77676,4.0,2.0,
258,"Southam Road, Hall Green",550000,Semi-Detached,52.43714,-1.84947,5.0,2.0,
259,"Groveley Lane, Cofton Hackett, Birmingham",550000,Detached,52.381931,-2.00074,4.0,4.0,"2,479 sq. ft."
260,"Queslett Road, Great Barr, Birmingham",550000,Detached,52.545841,-1.924093,4.0,2.0,
261,"Heaton House, Camden Street, Birmingham B1",550000,Town House,52.484382,-1.916344,3.0,2.0,
262,"The Copperworks, Birmingham",550000,Apartment,52.48602,-1.90969,3.0,2.0,"1,569 sq. ft."
263,"Hinstock Road, Birmingham, B20",550000,Detached,52.511761,-1.927594,4.0,2.0,
264,"Water Street, Birmingham",550000,Apartment,52.4852,-1.90291,2.0,2.0,"1,200 sq. ft."
265,"Gilchrist Drive, Birmingham",550000,Terraced,52.47012,-1.94034,4.0,1.0,
266,"Reservoir Road, Cofton Hackett, B45 8PJ",550000,Detached,52.376881,-1.995373,3.0,2.0,
267,"Walsall Road, Perry Barr, Birmingham",550000,Semi-Detached,52.52521,-1.90504,6.0,2.0,
268,"Boldmere Road, Sutton Coldfield, B73 5LP",550000,Detached,52.54027,-1.836973,4.0,1.0,
269,"Umberslade Road, Selly Oak, Birmingham",550000,House,52.435577,-1.928258,7.0,3.0,
270,"Wharfside Street, Birmingham",550000,Apartment,52.47487,-1.90706,2.0,2.0,
271,"Stockwell Road, Handsworth",550000,Detached,52.51561,-1.9388,5.0,3.0,
272,"Southam Road, Hall Green",550000,Detached,52.432369,-1.853455,5.0,2.0,
273,"The Whatecroft, Wentworth Road, Harborne, Birmingham, B17 9SY",550000,Semi-Detached,52.46153,-1.95856,3.0,2.0,
274,"Boldmere Road, Boldmere",550000,Detached,52.54024,-1.83703,4.0,1.0,
275,"Addison Road, Kings Heath, Birmingham",340000,Terraced,52.431232,-1.890586,3.0,1.0,
276,"Boldmere Road, Boldmere",550000,Detached,52.54024,-1.83703,4.0,1.0,
277,"Fitz Roy Avenue, Birmingham, B17",550000,Bungalow,52.466119,-1.978687,4.0,2.0,
278,"33 Alcester Road, Moseley, Birmingham, B13 8AP",550000,Semi-Detached,52.452263,-1.888015,6.0,,
279,"Blenheim Road, Moseley, Birmingham, B13",545000,Semi-Detached,52.438295,-1.887025,4.0,1.0,
280,"Clarence Road, Moseley, Birmingham, B13",545000,Terraced,52.439118,-1.881735,5.0,1.0,
281,"Fernwood Road, Sutton Coldfield, B73",540000,Detached,52.543655,-1.84875,4.0,1.0,
282,"Haunch Lane, Birmingham, West Midlands, B13",540000,Semi-Detached,52.421895,-1.882868,6.0,2.0,
283,"Sheepcote Street, Birmingham, B16",535270,Apartment,52.47595,-1.91398,2.0,1.0,812 sq. ft.
284,"The Copperworks, Birmingham",535000,Apartment,52.4853,-1.91764,3.0,2.0,"1,307 sq. ft."
285,"Fairholme Road, Birmingham",535000,Detached,52.50121,-1.82628,5.0,3.0,
286,"Newton Road, Great Barr, Birmingham",535000,Detached,52.543369,-1.953222,4.0,2.0,
287,"Barron Road, Northfield, Birmingham",535000,Semi-Detached,52.411231,-1.958951,5.0,2.0,
288,"Shelsley Drive. Moseley, Birmingham",535000,Detached,52.440393,-1.873207,4.0,2.0,
289,"Martineau Drive, Harborne, Birmingham",535000,House,52.461647,-1.977112,4.0,2.0,
290,"Teazel Avenue, Birmingham",525000,House,52.424571,-1.945185,4.0,1.0,
291,"Middle Park Close, Bournville Village Trust, Selly Oak, Birmingham, B29",525000,Semi-Detached,52.4343,-1.958062,3.0,1.0,
292,"Walter Cobb Drive, Sutton Coldfield, B73 5QR",525000,Semi-Detached,52.54715,-1.833584,7.0,3.0,
293,"Wyemanton Close, Great Barr, Birmingham",525000,Detached,52.5447,-1.952739,3.0,1.0,
294,Belmont Row Birmingham B4 7RQ,525000,Apartment,52.48393,-1.88201,2.0,2.0,773 sq. ft.
295,"Middle Park Road, Bournville Village Trust, Selly Oak, Birmingham, B29",525000,Semi-Detached,52.431995,-1.953962,3.0,1.0,
296,"Monument Road, Edgbaston, Birmingham",525000,Terraced,52.47309,-1.93076,5.0,1.0,"2,441 sq. ft."
297,"Morris Road, Birmingham, B8",525000,Semi-Detached,52.495o,-1.82173u,5.0,2.0,"1,981 sq. ft."
298,63-64 Water Street,525000,Apartment,52.4852,-1.90291,2.0,2.0,"1,150 sq. ft."
299,Reliance Works,525000,Apartment,52.48692,-1.90865,2.0,2.0,"1,302 sq. ft."
300,"Weston Road, Bearwood, West Midlands, B67",275000,End of Terrace,52.476475,-1.974353,3.0,2.0,
301,"South Road, Hockley, Birmingham, B18",520000,Terraced,52.49681,-1.92012,6.0,4.0,
302,"Kingsbury Road, Erdington, Birmingham",520000,End of Terrace,52.51302,-1.85084,11.0,4.0,
303,"Yardley Wood Road, Moseley, Birmingham, B13",520000,Semi-Detached,52.449593,-1.873093,4.0,2.0,
304,"Comet Works, Birmingham City Centre",515000,Apartment,52.487499,-1.89567,2.0,2.0,
305,"Garden House, 190 Harborne Road, Edgbaston",515000,Apartment,52.46293,-1.9377,2.0,2.0,"1,185 sq. ft."
306,"Badge Works, Tenby Street, Birmingham, B1 3EE",515000,Town House,52.48575,-1.91351,3.0,2.0,"1,218 sq. ft."
307,"Martyn Smith Close, Great Barr, Birmingham",515000,Detached,52.547779,-1.95362,4.0,2.0,
308,"East Works Drive, Cofton Hackett, B45 8GX",514995,Detached,52.38231,-1.98688,4.0,,
309,"Lordswood Road, Birmingham, West Midlands, B17 9BT",510000,Semi-Detached,52.4643,-1.96552,3.0,2.0,
310,Reliance Works,510000,Apartment,52.48692,-1.90865,2.0,2.0,"1,301 sq. ft."
311,"The Barker, Shadwell Street, Birmingham",509000,Apartment,52.48582,-1.899661,3.0,2.0,"1,101 sq. ft."
312,Belmont Row Birmingham B4 7RQ,505000,Apartment,52.48393,-1.88201,2.0,2.0,773 sq. ft.
313,"The Bank, Birmingham, B15",501610,Flat,52.4759,-1.9138u,3.0,,
314,"The Bank Tower 2, Sheepcote Street, Birmingham, B15",501610,Apartment,52.47568,-1.91383,3.0,2.0,
315,"Wye Cliff Road, Handsworth, Birmingham, B20 3TB",500000,Semi-Detached,52.50517,-1.9179,6.0,4.0,
316,"Heaton House, Camden Street, Birmingham B1",500000,Town House,52.484382,-1.916344,3.0,2.0,
317,"Jevons Road, Sutton Coldfield, B73 6QH",500000,Detached,52.55395,-1.862444,4.0,2.0,
318,"Pickwick Grove, Birmingham",500000,Detached,52.441593,-1.86277,6.0,,"1,977 sq. ft."
319,"St. Martins Place, 169 Broad Street, Birmingham City Centre",500000,Apartment,52.47182,-1.91325,3.0,2.0,"1,378 sq. ft."
320,"Rosedene Drive, Handsworth Wood",500000,Detached,52.51462,-1.93158,6.0,3.0,
321,"The Pressworks 40 - 44 Northwood Street, Birmingham",500000,House,52.486618,-1.906591,2.0,2.0,
322,"Eastern Road, Sutton Coldfield",500000,Semi-Detached,52.54788,-1.830697,4.0,2.0,
323,2F Truemans Heath Lane,500000,Bungalow,52.392351,-1.869766,3.0,3.0,
324,"Beeches Road, BIRMINGHAM",500000,Detached Bungalow,52.53619,-1.91519,4.0,1.0,
325,"Hannon Road, Kings Heath",350000,Semi-Detached,52.420639,-1.897983,3.0,1.0,
326,2E Truemans Heath Lane,500000,Bungalow,52.392351,-1.869766,3.0,3.0,
327,"Ashmead Rise, Cofton Hackett, Birmingham, Worcestershire, B45",500000,Detached,52.378678,-1.996899,5.0,2.0,
328,"South Loop Park, Port Loop, Birmingham",500000,Town House,52.481491,-1.928903,4.0,3.0,
329,"Devonshire Road, Handsworth Wood, Birmingham, B20 2PQ",500000,Semi-Detached,52.51665,-1.92876,6.0,1.0,
330,"Lelant Grove, Birmingham, West Midlands, B17",500000,Semi-Detached,52.457299,-1.96897,4.0,2.0,
331,"The Pressworks, Northwood Street, Jewellery Quarter, Birmingham",500000,Mews,52.48566,-1.90866,2.0,2.0,
332,"Buxton Road, Sutton Coldfield, B73 5RS",500000,Semi-Detached,52.54274,-1.834247,5.0,1.0,
333,"Broad Lane, Birmingham, B14",500000,Detached,52.41453,-1.89116,4.0,2.0,
334,The Pressworks,500000,Mews,52.487o,-1.90674u,2.0,2.0,"1,061 sq. ft."
335,"Clarence Road, Harborne, Birmingham, B17 9LA",500000,End of Terrace,52.46173,-1.945613,3.0,,
336,"Heeley Road, Selly Oak, Birmingham, B296EJ",500000,Terraced,52.44009,-1.93243,6.0,2.0,
337,"Livingstone Road, Kings Heath Birmingham, B14",500000,Semi-Detached,52.423656,-1.896298,4.0,2.0,
338,"Middle Park Road, Birmingham, West Midlands, B29 4BE",500000,Semi-Detached,52.430602,-1.95128,4.0,4.0,"1,800 sq. ft."
339,"Claines Road, Bournville, Birmingham",500000,Semi-Detached,52.417179,-1.952301,3.0,1.0,
340,"Beaufort Drive, Hodge Hill, Birmingham",500000,Semi-Detached,52.49588,-1.81392,5.0,2.0,
341,"New Hampton Lofts, 99 Branston Street",500000,Apartment,52.489959,-1.909908,2.0,2.0,
342,"Slade Road, Birmingham, B23",500000,Semi-Detached,52.51941,-1.8573,10.0,,
343,"Orphanage Road, Birmingham",500000,Detached,52.52747,-1.83148,4.0,3.0,
344,"St Martins Place, Broad Street, Birmingham, B15",500000,Apartment,52.473574,-1.916829,3.0,2.0,"1,397 sq. ft."
345,"Hubert Road, Selly Oak, Birmingham, B29 6ET",500000,Terraced,52.44018,-1.93096,6.0,2.0,
346,"Beaufort, Norfolk Road, Edgbaston, Birmingham, B15",500000,Mews,52.46779,-1.943654,2.0,2.0,
347,"Bunbury Road, Northfield, Birmingham, B31",500000,Detached,52.415076,-1.954883,3.0,1.0,
348,"Jockey Road, Sutton Coldfield, B73",500000,Detached,52.548759,-1.853923,4.0,2.0,
349,"Coleshill Road, Birmingham",500000,Semi-Detached,52.49588,-1.81392,5.0,2.0,
350,"Birmingham Road,Sutton Coldfield ,B72 1DP",425000,Semi-Detached,52.539356,-1.826774,3.0,1.0,
351,"Buxton Road, Sutton Coldfield",500000,House,52.542797,-1.83401,5.0,1.0,
352,"Anderton Park Road, Birmingham, B13",499999,,52.450216,-1.874233,5.0,2.0,
353,"Groveley Lane, Cofton Hackett, Birmingham, Worcestershire, B45",499995,Semi-Detached,52.381877,-1.991646,4.0,2.0,
354,"Broad Street, Birmingham, B16",499950,Apartment,52.476425,-1.9146,3.0,2.0,"1,207 sq. ft."
355,"Featherstone Road, Birmingham, West Midlands, B14",499950,Semi-Detached,52.425134,-1.894421,4.0,,
356,"Sterling House, Caroline Street",499950,Apartment,52.48562,-1.90734,3.0,3.0,"1,130 sq. ft."
357,"The Copperworks, Birmingham",499000,Apartment,52.48602,-1.90969,3.0,3.0,"1,270 sq. ft."
358,"The Copperworks, Birmingham",499000,Apartment,52.4853,-1.91764,3.0,3.0,"1,270 sq. ft."
359,The Copperworks,499000,Town House,52.48449,-1.91352,3.0,3.0,"1,270 sq. ft."
360,"Queslett Road, Great Barr, BIRMINGHAM, B43",499000,Detached,52.549017,-1.915346,5.0,2.0,
361,"Martineau Drive, Harborne, Birmingham, B32 2AS",495000,Town House,52.462784,-1.97769,4.0,,
362,"Reservoir Road, Cofton Hackett, Birmingham, Worcestershire, B45",495000,Detached,52.376837,-1.997454,3.0,1.0,
363,"Martineau Drive, Harborne, Birmingham, B32 2AS",495000,Town House,52.462784,-1.97769,4.0,,
364,"Manor Road North, Edgbaston, Birmingham, B16 9JS",495000,Semi-Detached,52.474457,-1.9483,4.0,,
365,"239 Alcester Road, Moseley, Birmingham, B13 8PY",495000,Detached,52.441536,-1.892475,4.0,,
366,"Leach Green Lane, Rednal, Birmingham",495000,Detached,52.388916,-2.007529,4.0,2.0,"2,704 sq. ft."
367,"The Copperworks, 3 Sloane Street, Birmingham B1 3DZ",495000,Town House,52.483367,-1.913024,3.0,3.0,
368,"Weeford Drive, Birmingham, B20",495000,Detached,52.523452,-1.933642,4.0,1.0,
369,"Sandon Road, Birmingham",495000,End of Terrace,52.47553,-1.96536,4.0,4.0,
370,"Martineau Gardens, Harborne, Birmingham, B32 2EH",490000,Mews,52.462784,-1.97769,4.0,,
371,"Birmingham Road,Water Orton,B46 1TL",490000,Detached,52.517857,-1.743507,5.0,2.0,
372,"Ashtree Court, Birmingham",490000,Detached,52.40512,-1.92279,4.0,2.0,
373,"Grosvenor Road, Harborne, Birmingham",490000,Terraced,52.461311,-1.967931,5.0,2.0,
374,"Wharfside Street, BIRMINGHAM",490000,Apartment,52.47487,-1.90706,2.0,2.0,
375,"Outmore Road, Birmingham",270000,Semi-Detached,52.47641,-1.78176,3.0,1.0,
376,"Wharfside Street, BIRMINGHAM",490000,Apartment,52.47487,-1.90706,2.0,2.0,
377,"Bagnell Road, Birmingham, B13",489000,Detached,52.42963,-1.88583,4.0,1.0,
378,"The Copperworks, Birmingham",485000,Apartment,52.4853,-1.91764,3.0,2.0,"1,170 sq. ft."
379,"Haselor Road, Sutton Coldfield, B73",485000,Semi-Detached,52.545714,-1.849037,5.0,2.0,
380,"Painswick Road, Birmingham, B28",485000,Semi-Detached,52.42788,-1.84686,5.0,2.0,
381,"Woodchurch Grange, Sutton Coldfield, B73 5GA",485000,Detached,52.54041,-1.841576,4.0,3.0,
382,"Oakwood Road, Birmingham, B47",480000,Detached,52.388527,-1.883292,4.0,2.0,
383,The Pressworks,480000,Apartment,52.487o,-1.90674u,2.0,2.0,"1,113 sq. ft."
384,"Photographic Works, 37-55 Camden Street, Birmingham, B1",479000,Duplex,52.482846,-1.912942,3.0,2.0,
385,"Priory House, Gooch Street North",477500,Apartment,52.47117,-1.89647,2.0,2.0,
386,"Harrow Road, Birmingham",475000,House,52.445865,-1.93082,5.0,2.0,
387,"Dalkeith Road, Sutton Coldfield, B73 6PW",475000,Semi-Detached,52.55121,-1.852945,3.0,1.0,
388,"Mulberry Road, Bournville, Birmingham",475000,Semi-Detached,52.421287,-1.949873,3.0,1.0,
389,"May Lane, Kings Heath, Birmingham, B14",475000,Detached,52.420563,-1.886777,3.0,1.0,
390,"Castle Hills Drive, Castle Bromwich, Birmingham, B36",475000,Detached,52.503752,-1.791756,4.0,1.0,
391,"Hole Lane, Bournville Village Trust, Northfield, Birmingham, B31",475000,Semi-Detached,52.416075,-1.954819,3.0,1.0,
392,"Parkfield Drive, Castle Bromwich",475000,Detached,52.51181,-1.76877,5.0,2.0,
393,"Stanmore Road, Edgbaston, Birmingham",475000,Semi-Detached,52.477966,-1.950589,3.0,2.0,
394,"Falstone Road, Sutton Coldfield",475000,Semi-Detached,52.55123,-1.85513,3.0,1.0,
395,"Court Oak Road, Birmingham",475000,House,52.459915,-1.962954,3.0,3.0,
396,"Northfield Road, Kings Norton / Bournville, Birmingham",475000,Semi-Detached,52.416175,-1.946955,3.0,2.0,
397,"Alcester Road South, Kings Heath, Birmingham, B14",475000,Detached,52.417702,-1.891357,3.0,1.0,
398,"Linden Road, Bournville, Birmingham",475000,Semi-Detached,52.431648,-1.93706,3.0,2.0,
399,"Harborne Park Road, Harborne",475000,Detached Bungalow,52.453286,-1.953983,3.0,1.0,
400,"Garnet Avenue, Great Barr, Birmingham B43 7RJ",295000,Semi-Detached,52.557388,-1.913728,3.0,1.0,
401,"Parkfield Drive, Birmingham",475000,Detached,52.51181,-1.76877,5.0,2.0,
402,"Alcester Road South, Birmingham, West Midlands, B14",475000,Semi-Detached,52.424349,-1.892721,4.0,1.0,
403,"Foxfield, Northfield, Birmingham",475000,House,52.417697,-1.975694,4.0,2.0,
404,"Shawhurst Lane, Birmingham, B47",475000,Semi-Detached,52.390758,-1.877126,5.0,4.0,
405,"New Road, Water Orton, Birmingham",475000,Detached,52.517448,-1.737608,4.0,1.0,
406,"Chester Road, Sutton Coldfield",475000,Semi-Detached,52.5416,-1.84543,4.0,2.0,
407,"King Edwards Wharf, 25 Sheepcote Street, B16 8AT",470000,Apartment,52.47847,-1.91795,2.0,2.0,"1,272 sq. ft."
408,"East Works Drive, Cofton Hackett, B45 8GX",469995,Detached,52.38231,-1.98688,4.0,,
409,"Bibsworth Avenue, Moseley, Birmingham, B13",469950,Detached,52.432811,-1.859871,6.0,3.0,
410,"B4 Fully Managed Apartments, Birmingham",469000,Apartment,52.48789,-1.89481,3.0,2.0,
411,"B4 Fully Managed Apartments, Birmingham",467950,Apartment,52.48789,-1.89481,3.0,2.0,
412,"B4 Fully Managed Apartments, Birmingham",465500,Apartment,52.48789,-1.89481,3.0,2.0,
413,"Beacon Hill, Rednal, Birmingham, B45 9QP",465000,Detached,52.388351,-2.018822,4.0,2.0,
414,"Sherlock Street, Birmingham",465000,House,52.4683,-1.89618,3.0,3.0,
415,"South Loop Green, Edgbaston",465000,Town House,52.4827,-1.92751,4.0,2.0,"1,537 sq. ft."
416,"B4 Apartments, Birmingham",465000,Apartment,52.48789,-1.89481,3.0,2.0,
417,"Heath Road South, Bournville Village Trust, Northfield, Birmingham, B31",465000,Semi-Detached,52.416189,-1.963127,4.0,1.0,
418,"Dyas Avenue, Great Barr, Birmingham, B42 1HL",460000,Terraced,52.536144,-1.928129,7.0,2.0,
419,"Marshall Street, Birmingham, West Midlands, B1",460000,Flat,52.473949,-1.903963,2.0,2.0,
420,"The Copperworks, Birmingham",460000,Apartment,52.4853,-1.91764,3.0,2.0,"1,145 sq. ft."
421,"Priory House Lofts, Gooch Street North, Birmingham, B5",460000,Duplex,52.472018,-1.897175,3.0,2.0,
422,"The Copperworks, Birmingham",460000,Apartment,52.4853,-1.91764,3.0,2.0,"1,145 sq. ft."
423,The Copperworks,460000,Town House,52.48449,-1.91352,3.0,2.0,"1,150 sq. ft."
424,"Somerdale Road, Bournville Village Trust, Northfield, Birmingham, B31",460000,Semi-Detached,52.41765,-1.949991,3.0,1.0,
425,"Garnet Avenue, Great Barr, Birmingham B43 7RJ",295000,Semi-Detached,52.557388,-1.913728,3.0,1.0,
426,"B1 City Centre, Birmingham",460000,Apartment,52.48341,-1.91146,3.0,3.0,
427,"Shadwell Street, Birmingham, B4",457500,Flat,52.48709,-1.89717,4.0,,903 sq. ft.
428,"B4 Apartments, Birmingham",455700,Apartment,52.48789,-1.89481,3.0,3.0,
429,"North Gate, Birmingham",455000,End of Terrace,52.463882,-1.955487,3.0,1.0,
430,"Birmingham, B4",452500,Flat,52.48709,-1.89717,3.0,,903 sq. ft.
431,"Westridge Road,Birmingham,B13 0EB",450000,Semi-Detached,52.423794,-1.862211,5.0,2.0,"1,883 sq. ft."
432,"Warwards Lane, Birmingham",450000,Semi-Detached,52.436973,-1.925194,8.0,3.0,
433,"Markham Road, Sutton Coldfield, B73",450000,Detached Bungalow,52.555521,-1.86222,3.0,1.0,
434,"Sherborne Wharf, Birmingham",450000,Apartment,52.47676,-1.91692,,1.0,"1,410 sq. ft."
435,"Stechford Lane, Birmingham",450000,Semi-Detached,52.49041,-1.81689,5.0,2.0,
436,"Dale Road, Birmingham",450000,House,52.445693,-1.934967,5.0,2.0,
437,"Gibson Road, Birmingham",450000,Detached,52.50661,-1.9176,5.0,2.0,
438,"Chestnut Drive, Erdington, Birmingham, B24 0DP",450000,Detached,52.524597,-1.820892,3.0,1.0,
439,"Arden Road, Acocks Green, Birmingham, B27",450000,Semi-Detached,52.45105,-1.82912,6.0,3.0,
440,"Green Meadow Road, Bournville Village Trust, Selly Oak, Birmingham, B29",450000,Semi-Detached,52.431638,-1.963596,3.0,,
441,"High Street-9.4% Rental Yield -£42,500 Rental Income, Erdington, Birmingham, B23",450000,,52.52244,-1.84093,,,
442,Osborne House,450000,Apartment,52.48476,-1.91116,3.0,3.0,"1,334 sq. ft."
443,"Green Lanes, Wylde Green, Sutton Coldfield",450000,House,52.539775,-1.829818,3.0,,
444,"High Brow, Harborne, Birmingham, B17 9EW",450000,Terraced,52.46385,-1.957093,3.0,,
445,"Brookvale Mews, Birmingham",450000,House of Multiple Occupation,52.444519,-1.913845,5.0,3.0,
446,"Wheelwright Road, Erdington, Birmingham, B24 8PJ",450000,Semi-Detached,52.512154,-1.846979,6.0,2.0,
447,"Hinstock Road, Birmingham",450000,Semi-Detached,52.51084,-1.92908,6.0,2.0,
448,"Highbridge Road, Sutton Coldfield, West Midlands, B73",450000,Bungalow,52.547206,-1.83736,3.0,2.0,
449,"Halton Road, Sutton Coldfield, B73 6NZ",450000,Semi-Detached,52.55365,-1.854957,3.0,1.0,
450,"Lordswood Road, Harborne",425000,Semi-Detached,52.461729,-1.963033,3.0,1.0,
451,"Halton Road, Sutton Coldfield, B73 6NZ",450000,Semi-Detached,52.55365,-1.854957,3.0,1.0,
452,"May Lane, Kings Heath, Birmingham, B14",450000,Detached,52.419441,-1.882994,3.0,1.0,
453,"Beech Road, Harborne, Birmingham, B17 9TD",450000,Mews,52.458912,-1.967269,3.0,,
454,"Beaumont Road, Bournville, Birmingham, B30",450000,Terraced,52.423561,-1.934258,4.0,2.0,
455,"Edward Road, Balsall Heath, Birmingham, B12",450000,Terraced,52.457548,-1.891487,,,
456,"The Lightwell, 61 Cornwall Street, B3 2EE",450000,Apartment,52.48241,-1.901904,2.0,2.0,"1,033 sq. ft."
457,"Bournbrook Road, Birmingham, West Midlands, B29",450000,Semi-Detached,52.44321,-1.92678,5.0,3.0,
458,"Devereux Close, Birmingham, B36",450000,Detached,52.50661,-1.78043,4.0,1.0,
459,"Highbridge Road, Boldmere, Sutton Coldfield, B73 5QU",450000,Detached,52.547142,-1.838054,3.0,2.0,
460,"Raddlebarn Road, Birmingham",450000,House,52.439109,-1.926917,5.0,3.0,
461,"Holywell Lane, Rednal, Birmingham",450000,House,52.390014,-2.030697,7.0,5.0,
462,"Highbridge Road, Sutton Coldfield, West Midlands, B73",450000,End of Terrace,52.547206,-1.83736,3.0,1.0,
463,"New Street, Birmingham, B36",450000,Semi-Detached,52.504239,-1.78284,4.0,1.0,
464,"Woodland Road, Birmingham, B31",450000,Semi-Detached,52.410215,-1.963122,4.0,2.0,
465,"Antrobus Road, Sutton Coldfield, B73 5EN",450000,Semi-Detached,52.54646,-1.843278,3.0,1.0,
466,"Moor Pool Avenue, Birmingham",450000,House,52.46202,-1.954161,3.0,1.0,
467,"Highbridge Road, Sutton Coldfield, B73 5QU",450000,End of Terrace,52.547142,-1.838054,3.0,1.0,
468,"Stirling Road, Sutton Coldfield",450000,Semi-Detached,52.54979,-1.85307,3.0,1.0,
469,"Dark Lane, Hollywood",450000,Semi-Detached,52.395877,-1.886265,3.0,1.0,
470,"Hubert Road, Birmingham",450000,House,52.442916,-1.934108,5.0,2.0,
471,"East Works Drive, Cofton Hackett, B45 8GX",449995,Detached,52.38231,-1.98688,3.0,,
472,"Sydenham Place, Tenby Street, Jewellery Quarter, B1",449950,Penthouse,52.48575,-1.91351,3.0,2.0,
473,"Sydenham Place, 26B Tenby Street , Jewellery Quarter",449950,Penthouse,52.48575,-1.91351,3.0,2.0,"1,281 sq. ft."
474,"Sydenham Place, Jewellery Quarter, B1",449950,Penthouse,52.486138,-1.913678,2.0,2.0,"1,280 sq. ft."
475,"Badge Works, Tenby Street, Birmingham, B1 3EE",515000,Town House,52.48575,-1.91351,3.0,2.0,"1,218 sq. ft."
476,"Regent Place, Birmingham, B1",449000,Apartment,52.48602,-1.90969,2.0,2.0,
477,"College Road, Sutton Coldfield, B73",445000,Semi-Detached,52.548253,-1.852155,3.0,2.0,
478,"Birmingham Buy to Let Investment, Birmingham",445000,Apartment,52.48367,-1.89261,3.0,2.0,
479,"Birmingham Buy to Let Investment, Birmingham",442995,Apartment,52.48367,-1.89261,3.0,2.0,
480,"Birmingham Buy to Let Investment, Birmingham",441000,Apartment,52.48367,-1.89261,3.0,3.0,
481,"Arden Road, Birmingham, B27",440000,Semi-Detached,52.450793,-1.825776,5.0,1.0,
482,"Dunchurch Crescent, Sutton Coldfield",440000,Detached Bungalow,52.5554,-1.867179,3.0,1.0,
483,"Laburnum Way, Northfield, Birmingham, B31",440000,Detached,52.401157,-1.971613,3.0,2.0,
484,"Hollywood Lane, Hollywood",440000,Semi-Detached,52.3942,-1.87475,3.0,1.0,
485,"Edenhall Road, Quinton, Birmingham, West Midlands",440000,Link Detached House,52.46028,-2.001554,4.0,2.0,
486,"Anderton Road, Birmingham, B11",440000,Terraced,52.461582,-1.868489,6.0,1.0,
487,"Maple Road, Rednal, Birmingham",439995,Detached,52.38977,-2.02067,4.0,3.0,
488,"Lordswood Road, Harborne, Birmingham, B17 9BL",435000,End of Terrace,52.462814,-1.963924,3.0,2.0,
489,"Chestnut Drive, Erdington, Birmingham, B24 0DN",435000,Detached,52.525822,-1.822052,3.0,1.0,
490,Reliance Works,435000,Town House,52.48692,-1.90865,2.0,2.0,"1,152 sq. ft."
491,"1 - 4 Great Hampton Street, Birmingham, B18 6AQ",409000,Apartment,52.48907,-1.90747,2.0,2.0,805 sq. ft.
492,"The Royal Arch (Mailbox), Wharfside Street, Birmingham, B1 1RG",435000,Penthouse,52.475782,-1.904659,2.0,2.0,"1,355 sq. ft."
493,"Quarry Lane, Birmingham",435000,Detached,52.407604,-1.967748,3.0,1.0,
494,"Sherborne Lofts, 33 Grosvenor Street West, Brindley Place",435000,Apartment,52.47676,-1.91692,2.0,2.0,"1,220 sq. ft."
495,"Avery Road, Sutton Coldfield",435000,Detached,52.5527,-1.862759,4.0,1.0,
496,"Welford Road, Sutton Coldfield, B73 5DP",435000,Semi-Detached,52.54646,-1.850024,4.0,2.0,
497,"Barnsley Road, Birmingham",435000,Semi-Detached,52.47454,-1.965902,4.0,2.0,
498,"Southam Close, Hall Green",435000,Semi-Detached Bungalow,52.43391,-1.85287,4.0,2.0,
499,Treasure House,434349,Duplex,52.48602,-1.91499,3.0,2.0,"1,045 sq. ft."
500,"Apartment 29, Treasure House, Carver Street, B1 3EG",434349,Duplex,52.48602,-1.91499,3.0,2.0,"1,045 sq. ft."
501,"Woodleaves, Hollywood",315000,Semi-Detached,52.397o,-1.88547u,3.0,1.0,
502,"Leasowes Road, Birmingham",430000,House,52.440059,-1.888789,3.0,2.0,
503,"The Quadrant, Sand pitts, B1",430000,Flat,52.48232,-1.915121,2.0,1.0,
504,"Madison Avenue, Hodge Hill, Birmingham",429950,Semi-Detached,52.498378,-1.811571,3.0,,
505,"Cadbury Road, Birmingham, West Midlands, B13",425000,End of Terrace,52.449459,-1.874108,5.0,2.0,
506,"Heath Road South, Bournville Village Trust, Northfield, Birmingham, B31",425000,Semi-Detached,52.416265,-1.961669,3.0,1.0,
507,"All Saints Road, Kings Heath, Birmingham, West Midlands, B14",425000,Semi-Detached,52.431546,-1.894417,4.0,2.0,
508,"Grove Road, Birmingham, B14",425000,Semi-Detached,52.426903,-1.901387,3.0,2.0,
509,The Pressworks,425000,Apartment,52.487o,-1.90674u,2.0,2.0,861 sq. ft.
510,"Lordswood Road, Harborne",425000,Semi-Detached,52.461729,-1.963033,3.0,1.0,
511,"Hamstead Hall Road,Handsworth Wood,Birmingham,B20 1HT",425000,Detached,52.521305,-1.9334,5.0,1.0,"1,363 sq. ft."
512,"Yardley Wood Road, Birmingham, B13",425000,Detached,52.449567,-1.873145,6.0,2.0,
513,"Steyning Road , South Yardley",425000,Semi-Detached,52.45677,-1.80688,3.0,1.0,
514,"Alcester Drive, Sutton Coldfield, B73 6PY",425000,Detached,52.55512,-1.859596,4.0,1.0,
515,"The Pines, Birmingham, B45",425000,Detached,52.39971,-2.01365,4.0,3.0,
516,"Fast Pits Road, Birmingham",425000,End of Terrace,52.46668,-1.82303,5.0,3.0,
517,"Barrows Lane, Yardley, Birmingham",425000,Semi-Detached,52.466869,-1.802118,4.0,2.0,
