,Address,Price,Property_Type,Latitude,Longitude,Bedrooms,Bathrooms,Size
51,"Serpentine Road, Selly Park, Birmingham",940000,Detached,52.443591,-1.923805,5.0,2.0,"2,606 sq. ft."
52,Water Street,925000,Penthouse,52.4852,-1.90291,3.0,3.0,"1,925 sq. ft."
53,"Sardon House, Edgbaston",925000,Link Detached House,52.462546,-1.904249,4.0,2.0,"1,206 sq. ft."
54,"Westfield Road, Edgbaston, Birmingham",925000,Detached,52.4704,-1.94946,5.0,2.0,"1,901 sq. ft."
55,"Yardley Wood Road, Moseley, Bimingham, B13",910000,Detached,52.441106,-1.872142,5.0,3.0,
56,"Englestede Close, Birmingham, B20 1BJ",900000,Detached,52.520752,-1.928287,4.0,3.0,
57,"Tanners Green Lane, Wythall, Birmingham, Worcestershire, B47",900000,Detached,52.368896,-1.877422,4.0,2.0,"2,840 sq. ft."
58,"Gravelly Hill, Erdington",900000,Block of Apartments,52.511101,-1.853893,10.0,6.0,
59,"Bournbrook Road, Selly Oak, Birmingham, B29 7BU",900000,House,52.44333,-1.92757,8.0,8.0,
60,"Coppice Road, Birmingham",900000,House,52.448364,-1.879794,7.0,7.0,
61,"Bournbrook Road, Selly Oak, Birmingham, B29 7BU",900000,House,52.44333,-1.92757,8.0,8.0,
62,"Frederick Road, Edgbaston",895000,Semi-Detached,52.469325,-1.917844,3.0,2.0,
63,"Moorland Road, Edgbaston, Birmingham",895000,Link Detached House,52.47444,-1.94666,6.0,2.0,"3,400 sq. ft."
64,"Ryland Road, Edgbaston",895000,Town House,52.467426,-1.908767,5.0,2.0,
65,16 Wellington Road,885000,Semi-Detached,52.464613,-1.905072,4.0,2.0,"2,282 sq. ft."
66,"Cambridge Road, Moseley, Birmingham, B13",875000,Semi-Detached,52.437048,-1.885832,4.0,2.0,
67,"Harrisons Road, Edgbaston",875000,Detached,52.459949,-1.936345,4.0,1.0,
68,"Beaufort, Norfolk Road, Edgbaston, Birmingham, B15",875000,Apartment,52.46779,-1.943654,3.0,3.0,
69,"Ravenhurst Road, Harborne, Birmingham, B17 9SP",850000,Semi-Detached,52.460827,-1.953941,4.0,2.0,
70,"Alben Works Legge Lane, Birmingham B1",850000,Town House,52.484211,-1.913817,3.0,3.0,
71,"Lee Crescent, Edgbaston, Birmingham, B15",850000,Town House,52.469052,-1.909207,4.0,1.0,
72,"Wellington Road, Edgbaston, Birmingham, B15",850000,Semi-Detached,52.464202,-1.905131,3.0,1.0,"2,446 sq. ft."
73,"Bushwood Lane, West Midlands, B95",850000,Barn Conversion,52.482899,-1.893461,4.0,4.0,
74,"Alben Works, 1+2 Legge Lane",850000,Town House,52.4844,-1.91337,3.0,3.0,"1,903 sq. ft."
75,"Apartment 21, Treasure House, Carver Street, B1 3EG",328250,Apartment,52.48602,-1.91499,2.0,2.0,787 sq. ft.
76,"Quinton Road, Birmingham",850000,House,52.447731,-1.959283,6.0,6.0,
77,"Augustus Road, Edgbaston B15 3LT",849950,Detached,52.46895,-1.9346,4.0,2.0,"2,233 sq. ft."
78,"Harborne Park Road, Birmingham",840000,House,52.453174,-1.95469,4.0,2.0,
79,"Lake Drive, Tidbury Green",830000,Detached,52.38582,-1.85655,4.0,2.0,
80,"Lake Drive, Tidbury Green",830000,Detached,52.38582,-1.85655,4.0,2.0,
81,"Water Street, Birmingham",825000,Apartment,52.4852,-1.90291,3.0,3.0,"1,925 sq. ft."
82,"Oxford Road, Moseley, Birmingham, West Midlands, B13",825000,Semi-Detached,52.443931,-1.883878,10.0,,
83,30 Kelmscott Road,825000,Detached,52.466963,-1.964183,4.0,1.0,"1,953 sq. ft."
84,"38 St Pauls Square, Birmingham, B3 1QX",825000,Apartment,52.48548,-1.90689,3.0,2.0,
85,"Heeley Road, Birmingham",825000,House,52.441242,-1.9342,8.0,8.0,
86,"Rotton Park Road, Birmingham",800000,Detached,52.4757,-1.94504,4.0,1.0,
87,"Dark Lane, Wythall",800000,Detached,52.392828,-1.905466,4.0,2.0,"2,453 sq. ft."
88,"Chester Road, Boldmere",800000,Detached,52.537399,-1.837739,5.0,,
89,"Mackenzie Road, Birmingham, B11",800000,Detached,52.443105,-1.866234,7.0,4.0,
