Address,Price,Property_Type,Latitude,Longitude,Bedrooms,Bathrooms,Size
"Bournbrook Road, Selly Oak, Birmingham, B29 7BU","£900,000",House,52.44333,-1.92757,8,8,
"Frederick Road, Edgbaston","£895,000",Semi-Detached,52.469325,-1.917844,3,2,
"Moorland Road, Edgbaston, Birmingham","£895,000",Link Detached House,52.47444,-1.94666,6,2,"3,400 sq. ft."
"Ryland Road, Edgbaston","£895,000",Town House,52.467426,-1.908767,5,2,
16 Wellington Road,"£885,000",Semi-Detached,52.464613,-1.905072,4,2,"2,282 sq. ft."
"Cambridge Road, Moseley, Birmingham, B13","£875,000",Semi-Detached,52.437048,-1.885832,4,2,
"Harrisons Road, Edgbaston","£875,000",Detached,52.459949,-1.936345,4,1,
"Beaufort, Norfolk Road, Edgbaston, Birmingham, B15","£875,000",Apartment,52.46779,-1.943654,3,3,
"Ravenhurst Road, Harborne, Birmingham, B17 9SP","£850,000",Semi-Detached,52.460827,-1.953941,4,2,
"Alben Works Legge Lane, Birmingham B1","£850,000",Town House,52.484211,-1.913817,3,3,
"Lee Crescent, Edgbaston, Birmingham, B15","£850,000",Town House,52.469052,-1.909207,4,1,
"Wellington Road, Edgbaston, Birmingham, B15","£850,000",Semi-Detached,52.464202,-1.905131,3,1,"2,446 sq. ft."
"Bushwood Lane, West Midlands, B95","£850,000",Barn Conversion,52.482899,-1.893461,4,4,
"Alben Works, 1+2 Legge Lane","£850,000",Town House,52.4844,-1.91337,3,3,"1,903 sq. ft."
"Apartment 21, Treasure House, Carver Street, B1 3EG","£328,250",Apartment,52.48602,-1.91499,2,2,787 sq. ft.
"Quinton Road, Birmingham","£850,000",House,52.447731,-1.959283,6,6,
"Augustus Road, Edgbaston B15 3LT","£849,950",Detached,52.46895,-1.9346,4,2,"2,233 sq. ft."
"Harborne Park Road, Birmingham","£840,000",House,52.453174,-1.95469,4,2,
"Lake Drive, Tidbury Green","£830,000",Detached,52.38582,-1.85655,4,2,
"Lake Drive, Tidbury Green","£830,000",Detached,52.38582,-1.85655,4,2,
"Water Street, Birmingham","£825,000",Apartment,52.4852,-1.90291,3,3,"1,925 sq. ft."
"Oxford Road, Moseley, Birmingham, West Midlands, B13","£825,000",Semi-Detached,52.443931,-1.883878,10,,
30 Kelmscott Road,"£825,000",Detached,52.466963,-1.964183,4,1,"1,953 sq. ft."
"38 St Pauls Square, Birmingham, B3 1QX","£825,000",Apartment,52.48548,-1.90689,3,2,
"Heeley Road, Birmingham","£825,000",House,52.441242,-1.9342,8,8,
"Rotton Park Road, Birmingham","£800,000",Detached,52.4757,-1.94504,4,1,
"Dark Lane, Wythall","£800,000",Detached,52.392828,-1.905466,4,2,"2,453 sq. ft."
"Chester Road, Boldmere","£800,000",Detached,52.537399,-1.837739,5,,
"Mackenzie Road, Birmingham, B11","£800,000",Detached,52.443105,-1.866234,7,4,
"Victoria Road, Stechford, Birmingham","£800,000",Detached,52.48366,-1.81221,7,5,
"Lea End Lane, Hopwood, Alvechurch, B48 7AX","£799,999",Semi-Detached,52.378223,-1.946376,4,4,"2,691 sq. ft."
"Selly Park Road, Selly Park, Birmingham, B29 7LH","£799,950",Detached,52.442396,-1.922029,5,1,
"Alben Works, Legge Lane, Birmingham B1","£799,950",Town House,52.484211,-1.913817,3,3,
"Alben Works, 1+2 Legge Lane","£799,950",Town House,52.4844,-1.91337,3,3,"1,656 sq. ft."
"Lordswood Road, Harborne, Birmingham, B17 9BP","£795,000",Semi-Detached,52.46425,-1.965528,4,3,
"King Edwards Wharf, Birmingham","£795,000",Apartment,52.47847,-1.91795,3,2,
"Cofton Church Lane, Cofton Hackett, Birmingham, Worcestershire, B45","£795,000",Detached,52.372236,-1.992757,4,3,
"Lea End Lane, Hopwood, Alvechurch","£780,000",Character Property,52.375095,-1.938408,3,3,
"Lea End Lane, Hopwood, Alvechurch","£780,000",Character Property,52.375095,-1.938408,3,3,
"Alcester Street, Birmingham, B12","£92,950",Studio,52.47143,-1.88439,,,
"Vesey Road, Sutton Coldfield, West Midlands","£775,000",Link Detached House,52.548114,-1.826414,6,3,
"Hollywood Drive, Hollywood","£775,000",House,52.395942,-1.879107,5,3,
"Portland Road, Birmingham, B16","£775,000",Semi-Detached,52.47381,-1.94107,5,,
"Houndsfield Lane, Birmingham, B47","£775,000",Detached,52.385104,-1.873879,5,4,
"Grimpits Lane, Birmingham","£775,000",Detached,52.391265,-1.921708,4,1,
"1 - 4 Great Hampton Street, Birmingham, B18 6AQ","£769,000",Apartment,52.48907,-1.90747,2,2,"1,506 sq. ft."
"Goldieslie Road, Boldmere","£760,000",Detached,52.55003,-1.82977,4,1,
"Ethel Road, Harborne, Birmingham, B17 0EL","£755,000",Terraced,52.456818,-1.950075,4,2,
"Yew Tree Road, Edgbaston","£750,000",Semi-Detached,52.469909,-1.912825,5,2,
"Crosbie Road, Harborne, B17","£750,000",House,52.460834,-1.960888,4,1,
"Carisbrooke Road, Edgbaston, Birmingham","£750,000",Detached,52.474689,-1.959504,6,2,
"Hazeley Close, Harborne, Birmingham","£750,000",Detached,52.465007,-1.972381,4,4,
"Stechford Road, Birmingham","£750,000",Semi-Detached,52.495686,-1.805691,7,4,
"Middleton Hall Road, Kings Norton, Birmingham, B30","£750,000",Detached,52.415249,-1.936097,6,2,
"Willow Road Bournville, Birmingham, B30","£750,000",Penthouse,52.434386,-1.933517,3,2,"1,280 sq. ft."
"Symphony Court, Birmingham, West Midlands, B16 8AD","£750,000",House,52.477878,-1.916265,3,2,"1,689 sq. ft."
"Portland Road, Birmingham","£750,000",Semi-Detached,52.47381,-1.94107,5,1,
"Development Opportunity Plot 1 and 2 at 134 Newton Road, B43 6BT","£750,000",Land,52.54446,-1.942965,,,
"Gillhurst Road, Harborne, Birmingham, B17 8PE","£745,000",Semi-Detached,52.466333,-1.955908,4,3,
"St Paul''s Court, 23 St. Paul''s Square, Birmingham","£735,000",Town House,52.485866,-1.905432,3,2,"1,324 sq. ft."
"Belle Walk, Moseley","£730,000",Detached,52.446498,-1.87267,7,5,
"Park Hill Road, Harborne, Birmingham, B17 9HJ","£725,000",Semi-Detached,52.462595,-1.950175,4,2,
"Lonsdale Road, Harborne","£725,000",House,52.459602,-1.957931,4,2,
"Yardley Wood Road, Moseley, Birmingham, B13","£725,000",Detached,52.448885,-1.873094,4,3,
"Selly Wick Drive, Selly Park, Birmingham, B29","£195,000",Apartment,52.44321,-1.917584,2,1,
"Milford Road, Birmingham, B17 9RL","£720,000",Semi-Detached,52.45723,-1.962357,6,,
"Holly Gardens, Birmingham, B20","£715,000",Detached,52.523586,-1.932005,5,3,
"Antrobus Road, Sutton Coldfield","£700,000",House,52.545761,-1.845188,6,4,
"Knightlow Road, Harborne","£700,000",Detached,52.468339,-1.961923,3,1,
"Warstone Lane, Birmingham, West Midlands B18 6NZ","£700,000",House,52.48719,-1.915073,4,2,"1,685 sq. ft."
"Lordswood Road, Harborne","£700,000",Detached,52.46096,-1.96331,4,2,"1,609 sq. ft."
"Chester Road, Castle Bromwich, Birmingham, B36","£700,000",Detached,52.50554,-1.78294,4,2,
"Canal Wharf, 12 Waterfront Walk, Birmingham, West Midlands, B1","£700,000",Flat,52.47541,-1.90765,2,3,
"Keel Drive, Moseley, Birmingham, B13","£700,000",Detached,52.437811,-1.856504,4,2,
"Hubert Road, Birmingham","£700,000",House,52.441196,-1.932438,7,7,
"Dawlish Road, Birmingham","£700,000",House,52.441867,-1.929655,8,8,
"Sherborne Lofts, Grosvenor Street West, B16 8HW","£700,000",Duplex,52.476203,-1.916443,2,3,"1,684 sq. ft."
"Alcester Road, Portway, Birmingham, Warwickshire, B48 7JB","£700,000",Semi-Detached,52.447025,-1.888072,5,,
"Deeley Close, Edgbaston B15","£700,000",Detached,52.46651,-1.91237,4,3,
"Newton Road, Great Barr, Birmingham","£700,000",Detached,52.5447,-1.94094,5,2,
"Newton Road, Great Barr, Birmingham, B43 6AA","£700,000",Detached,52.545482,-1.937013,6,5,"4,420 sq. ft."
"St Johns Wood, Rednal, Birmingham, B45 8DL","£700,000",Detached,52.384434,-2.004657,5,3,
"Bristol Road, Edgbaston, B5","£700,000",House,52.448184,-1.922086,6,2,
"Serpentine Road, Selly Park, Birmingham, B29 7HU","£699,950",Detached,52.44413,-1.92551,6,3,
"Queensway House, 57 Livery Street, B3 1HA","£699,950",Duplex,52.484912,-1.902043,3,3,"2,357 sq. ft."
"Teazel Avenue, Birmingham","£699,000",House,52.425079,-1.944777,5,3,
"Silvermead Road, Sutton Coldfield, B73 5SR","£695,000",Detached,52.54647,-1.832597,4,3,
"Darnick Road, Boldmere","£695,000",Detached,52.55438,-1.85733,5,2,
"Sherborne Lofts, 33 Grosvenor Street West","£695,000",Apartment,52.47676,-1.91692,2,2,"2,362 sq. ft."
"Sherborne Lofts, 33 Grosvenor Street West","£695,000",Apartment,52.47676,-1.91692,2,2,"2,362 sq. ft."
"Blackthorn Close, Bournville, Birmingham, B30","£695,000",Detached,52.42275,-1.95219,4,1,
"Concord House, Birmingham","£695,000",Apartment,52.47397,-1.90367,2,2,"2,070 sq. ft."
"Pavenham Drive, Edgbaston","£695,000",Detached,52.451911,-1.911256,4,2,"2,096 sq. ft."
"Alcester Road, Hollywood, Birmingham","£685,000",Detached,52.398659,-1.88215,4,4,
"Melrose Avenue, Sutton Coldfield","£685,000",Detached,52.551799,-1.848009,4,1,
"The Grange, Handsworth Wood","£680,000",Detached,52.523471,-1.927817,5,4,
"Greenfield Road, Harborne, Birmingham, B17 0EF","£679,950",Terraced,52.457623,-1.948135,4,3,
"Wood Lane, Harborne, Birmingham","£675,000",Link Detached House,52.461101,-1.96754,5,3,
"Boldmere Road, Sutton Coldfield, West Midlands","£675,000",Semi-Detached,52.543598,-1.8398,4,2,
"Ingham Way, Harborne","£675,000",Detached,52.467889,-1.971632,3,3,
"Stonehouse Road, Sutton Coldfield, B73 6LP","£660,000",Detached Bungalow,52.55193,-1.842227,5,2,
"Snow Hill Wharf, Shadwell Street, Birmingham, B4","£655,000",Duplex,52.48412,-1.89585,3,3,"1,367 sq. ft."
"Eastbourne Avenue, Birmingham","£650,000",Semi-Detached,52.495609,-1.809963,6,4,
"Sherborne Lofts, 33 Grosvenor Street West, B16 8HW","£650,000",Apartment,52.476833,-1.916708,2,2,"2,067 sq. ft."
"City Centre, 2552 Sq Ft, Balcony Waterside Fully Furnished","£650,000",Penthouse,52.476819,-1.916833,3,3,"2,552 sq. ft."
"Mayland Road, Edgbaston","£650,000",Land,52.478564,-1.952252,5,,
"Dinmore Avenue, Bournville Village Trust, Northfield, Birmingham, B31","£650,000",Detached,52.415588,-1.962082,4,1,
"Wheelers Lane,Birmingham,B13 0SG","£650,000",Semi-Detached,52.428814,-1.884594,4,4,"2,012 sq. ft."
"Snow Hill Wharf, Shadwell Street, Birmingham, B4","£650,000",Duplex,52.48412,-1.89585,3,3,"1,388 sq. ft."
"Sydenham Place TOWNHOUSE, Tenby Street, Jewellery Quarter, B1 3EE","£649,950",Semi-Detached,52.486175,-1.913693,4,3,"1,815 sq. ft."
"Sydenham Place, 26C Tenby Street , Jewellery Quarter","£649,950",Town House,52.48575,-1.91351,3,2,"1,941 sq. ft."
"Sydenham Place, Tenby Street, Jewellery Quarter, B1","£649,950",Town House,52.486102,-1.914059,4,2,
"Packhorse Lane, Near Wythall","£635,000",Detached Bungalow,52.38955,-1.90224,3,1,
"Margaret Road, Birmingham","£625,000",Terraced,52.45664,-1.95139,5,3,
"Rochester Road, Birmingham","£190,000",End of Terrace,52.41458,-1.97026,3,1,
"Serpentine Road,Selly Park,Birmingham,B29 7HU","£625,000",Detached,52.44413,-1.925307,4,2,
"Alben Works, Legge Lane, Birmingham B1","£625,000",Town House,52.484211,-1.913817,3,2,
"Britwell Road, Sutton Coldfield, B73","£625,000",Detached,52.550022,-1.83687,3,2,
"School Road, Moseley, Birmingham, West Midlands, B13","£625,000",Detached,52.440909,-1.886117,4,1,
"New Street, Castle Bromwich, Birmingham","£625,000",Detached,52.50419,-1.78295,4,2,
"Gillott Road, Birmingham","£625,000",Detached,52.47578,-1.949588,5,,
30 Ryland Road,"£625,000",Town House,52.468061,-1.907915,4,1,"2,098 sq. ft."
"Alben Works, 1+2 Legge Lane","£625,000",Town House,52.4844,-1.91337,3,2,"1,368 sq. ft."
"Northfield Road, Kings Norton, Birmingham, B30","£625,000",Semi-Detached,52.417421,-1.933027,4,2,
"Priory House, Gooch Street North, Birmingham, B5","£625,000",Penthouse,52.472018,-1.897175,3,2,
"Elwyn Road, Sutton Coldfield, B73","£625,000",Detached,52.554703,-1.835171,4,2,
Belmont Row Birmingham B4 7RQ,"£625,000",Apartment,52.48393,-1.88201,2,2,"1,154 sq. ft."
"Welford Road, Sutton Coldfield","£625,000",Detached,52.546925,-1.851017,4,1,
"Mayfield Road, Wylde Green","£610,000",Semi-Detached,52.55084,-1.83316,5,1,
"Mayfield Road, Sutton Coldfield, B73 5QL","£610,000",Semi-Detached,52.55097,-1.833434,5,1,
"Church Lane, Handsworth, Birmingham","£609,000",Semi-Detached,52.51354,-1.92702,7,2,
"Blenheim Road, Birmingham","£600,000",Semi-Detached,52.437881,-1.884096,4,4,
"Chances Street, Edgbaston","£600,000",Detached,52.482069,-1.955833,4,3,
Queens College Chambers,"£600,000",Apartment,52.47873,-1.90366,2,2,"1,700 sq. ft."
"Whitecrest, Birmingham, B43","£600,000",Detached,52.547693,-1.925229,5,3,
"Barnsley Road, Edgbaston","£600,000",Semi-Detached,52.473382,-1.965607,6,2,
"Alcester Road, Moseley, Birmingham","£600,000",Detached,52.441535,-1.892475,4,1,
"Vivian Road, Harborne, Birmingham","£600,000",Semi-Detached,52.4571,-1.95404,3,1,
"Viceroy House, Jewellery Quarter, Birmingham City Centre","£600,000",Apartment,52.485309,-1.902781,2,2,
"East Drive, Edgbaston, Birmingham","£365,000",Town House,52.45383,-1.90872,3,1,"1,274 sq. ft."
"Viceroy House, Jewellery Quarter, Birmingham City Centre","£600,000",Apartment,52.485309,-1.902781,2,2,
"Station Road, Wythall, Birmingham","£600,000",Detached Bungalow,52.37498,-1.876266,4,2,
"Court Oak Road, Harborne","£600,000",Semi-Detached,52.459777,-1.961884,4,1,
"Building Plot off Warren Lane, Lickey, B45 8ER","£600,000",Plot,52.376396,-2.005959,,,
"Botteville Road, Birmingham, B27","£599,950",Semi-Detached,52.44367,-1.82297,6,3,
"Moor Pool Avenue, Birmingham, B17 9HL","£599,950",Semi-Detached,52.462451,-1.951799,4,2,"1,588 sq. ft."
"Petersham Place, Richmond Hill Road, Edgbaston B15 3RY","£599,000",Ground Flat,52.460492,-1.935876,3,3,"1,707 sq. ft."
"Greenfield Road, Harborne, Birmingham, B17 0EP","£595,000",Terraced,52.457264,-1.950333,3,,
"Pear Tree Drive, Great Barr","£595,000",Detached,52.54601,-1.9541,4,2,
"Heathlands Crescent, Sutton Coldfield, B73 5EP","£595,000",Detached,52.54609,-1.841951,4,2,
"Vesey Road, Sutton Coldfield, B73 5NR","£595,000",Semi-Detached,52.54706,-1.829834,3,2,
"St. Johns Road, Harborne, B17","£595,000",Terraced,52.460798,-1.94648,5,2,
"The Copperworks, Birmingham","£595,000",Apartment,52.48602,-1.90969,4,4,"1,453 sq. ft."
"Heathlands Crescent, Boldmere","£595,000",Detached,52.546072,-1.841951,4,1,
"Stirling Road, Birmingham","£595,000",Terraced,52.47327,-1.934371,6,6,
"The Copperworks, 5 Sloane Street, Birmingham, B1 3DZ","£595,000",Town House,52.483387,-1.913131,4,4,
21 Melville Road,"£595,000",End of Terrace,52.473506,-1.949895,5,2,"1,924 sq. ft."
"Moor Green Lane, Birmingham, B13","£595,000",Detached,52.442369,-1.905457,4,1,
"Sandhurst Avenue, Birmingham","£590,000",Semi-Detached,52.4975,-1.81141,6,3,
"Broad Lane,Birmingham,B14 5AL","£585,000",Detached,52.415218,-1.890128,5,2,
"Broughton Works, George Street","£585,000",Apartment,52.48422,-1.90807,3,1,
"Livingstone Road, Birmingham, B14","£580,000",Semi-Detached,52.422962,-1.894837,4,2,
"Darnick Road, Boldmere","£580,000",Detached,52.55231,-1.85778,4,1,
"Redacre Road, Sutton Coldfield, B73","£575,000",Detached,52.549373,-1.842683,4,1,
"Shaftmoor Lane, Hall Green, West Midlands, B28 8SN","£272,995",Terraced,52.44171,-1.84063,2,,
"Windermere Road, Moseley, Birmingham, B13","£575,000",Bungalow,52.44049,-1.86785,3,2,
"Waddington Avenue, Great Barr, Birmingham","£575,000",Detached,52.5438,-1.93947,4,2,
"Britwell Road, Sutton Coldfield","£575,000",Semi-Detached,52.54995,-1.837u,4,2,
"Alcester Road, Moseley, Birmingham, B13","£575,000",Terraced,52.453299,-1.886929,5,3,
"Barnsley Road, Birmingham","£575,000",Semi-Detached,52.474384,-1.965447,6,2,
"Royal Arch Apartments, Wharfside Street, Birmingham B1 1RB","£575,000",Duplex,52.476222,-1.905407,3,2,
"Mulberry Road, Bournville, Birmingham, B30","£575,000",Semi-Detached,52.421494,-1.952594,5,2,
"Waddington Avenue, Great Barr","£575,000",Detached,52.54384,-1.93921,4,2,
"The Copperworks, Birmingham","£575,000",Apartment,52.4853,-1.91764,3,2,"1,379 sq. ft."
"Blenheim Road, Moseley, Birmingham, B13","£575,000",Semi-Detached,52.438284,-1.887094,5,2,
"Middlepark Drive, Birmingham, B31","£575,000",House,52.424613,-1.959133,5,3,
"Coleshill Meadow, Birmingham","£565,000",Detached,52.50331,-1.81081,4,2,
"Oakwood Road, Sutton Coldfield, B73 5EG","£560,000",Semi-Detached,52.54846,-1.847612,4,2,
"Frederick Road, Sutton Coldfield, B73 5QW","£560,000",Semi-Detached,52.55023,-1.83493,4,1,
"St. Paul''s Chambers, 85 Caroline Street, St. Paul''s Square","£560,000",Apartment,52.48562,-1.90734,3,2,"1,345 sq. ft."
"Beaufort Drive, Birmingham","£555,000",Detached,52.4958,-1.81466,4,3,
"Philip Victor Road, Birmingham","£555,000",Link Detached House,52.51219,-1.92997,6,1,
"Fitz Roy Avenue, Harborne B17","£550,000",Detached Bungalow,52.46609,-1.97876,4,2,
"5 x SELF CONTAINED FLATS- Gillott Road, Birmingham, B16","£550,000",Block of Apartments,52.479695,-1.945074,,,
"High Heath Close, Bournville, Birmingham, B30","£550,000",Detached,52.421479,-1.944814,4,2,
"Monksfield Avenue, Birmingham","£550,000",Detached,52.54735,-1.94849,5,1,
"Western Road, Sutton","£550,000",Semi-Detached,52.546875,-1.834824,3,1,
"Walsall Road, Perry Barr, Birmingham","£550,000",Semi-Detached,52.523834,-1.902781,5,3,
Alumrock,"£550,000",Detached,52.48683,-1.8306,4,7,"5,000 sq. ft."
"The Bank, Sheepcote Street, Birmingham B16","£325,000",Flat,52.4759,-1.9138u,2,2,
"Ellesboro Road, Harborne","£550,000",Semi-Detached,52.46681,-1.96227,3,1,"1,534 sq. ft."
"Moor End Lane, Erdington, Birmingham","£550,000",Semi-Detached,52.52437,-1.829102,5,1,
"Southam Road, Hall Green","£550,000",Semi-Detached,52.43714,-1.84947,4,2,
"Poppy Lane, Erdington, Birmingham","£550,000",House,52.528415,-1.819977,5,1,
"Pereira Road, Harborne","£550,000",Semi-Detached,52.464675,-1.952784,4,2,"1,431 sq. ft."
"Sheaf Lane, Birmingham","£550,000",Detached Bungalow,52.45448,-1.78231,5,2,
"Poundley Close, Birmingham","£550,000",Detached,52.5058,-1.77676,4,2,
"Southam Road, Hall Green","£550,000",Semi-Detached,52.43714,-1.84947,5,2,
"Groveley Lane, Cofton Hackett, Birmingham","£550,000",Detached,52.381931,-2.00074,4,4,"2,479 sq. ft."
"Queslett Road, Great Barr, Birmingham","£550,000",Detached,52.545841,-1.924093,4,2,
"Heaton House, Camden Street, Birmingham B1","£550,000",Town House,52.484382,-1.916344,3,2,
"The Copperworks, Birmingham","£550,000",Apartment,52.48602,-1.90969,3,2,"1,569 sq. ft."
"Hinstock Road, Birmingham, B20","£550,000",Detached,52.511761,-1.927594,4,2,
"Water Street, Birmingham","£550,000",Apartment,52.4852,-1.90291,2,2,"1,200 sq. ft."
"Gilchrist Drive, Birmingham","£550,000",Terraced,52.47012,-1.94034,4,1,
"Reservoir Road, Cofton Hackett, B45 8PJ","£550,000",Detached,52.376881,-1.995373,3,2,
"Walsall Road, Perry Barr, Birmingham","£550,000",Semi-Detached,52.52521,-1.90504,6,2,
"Boldmere Road, Sutton Coldfield, B73 5LP","£550,000",Detached,52.54027,-1.836973,4,1,
"Umberslade Road, Selly Oak, Birmingham","£550,000",House,52.435577,-1.928258,7,3,
"Wharfside Street, Birmingham","£550,000",Apartment,52.47487,-1.90706,2,2,
"Stockwell Road, Handsworth","£550,000",Detached,52.51561,-1.9388,5,3,
"Southam Road, Hall Green","£550,000",Detached,52.432369,-1.853455,5,2,
"The Whatecroft, Wentworth Road, Harborne, Birmingham, B17 9SY","£550,000",Semi-Detached,52.46153,-1.95856,3,2,
"Boldmere Road, Boldmere","£550,000",Detached,52.54024,-1.83703,4,1,
"Addison Road, Kings Heath, Birmingham","£340,000",Terraced,52.431232,-1.890586,3,1,
"Boldmere Road, Boldmere","£550,000",Detached,52.54024,-1.83703,4,1,
"Fitz Roy Avenue, Birmingham, B17","£550,000",Bungalow,52.466119,-1.978687,4,2,
"33 Alcester Road, Moseley, Birmingham, B13 8AP","£550,000",Semi-Detached,52.452263,-1.888015,6,,
"Blenheim Road, Moseley, Birmingham, B13","£545,000",Semi-Detached,52.438295,-1.887025,4,1,
